UF,Cidade,País,Instituição,Formação,Área,Sub Área,Data Inscrição,Categoria,Inscrição,Credenciado,Data Credenciamento,Hora Credenciamento,Material,Inscrito,Código de Conduta,Com qual das opções abaixo você se identifica?,Como você classificaria seu nível de conhecimento em Python?,Como você se define?,Como você se identifica?,Direitos de conteúdo e imagem,Termo de consentimento para tratamento de dados pessoais,"Você possui alguma deficiência? Se sim, qual?",Você programa em Python?,Você trabalha com Python
PI,Teresina,Brasil,Universidade Federal do Piauí,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,SIM,Heterossexual / Cisgênero,Avançado,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,Há mais de dez anos,Sim
SP,Campinas,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,09/06/2025 16:45:00,Exclusivo da organização,Aprovado,sim,21/06/2025,10:41,sim,sim,SIM,Parte da comunidade LGBTQIA+,Ainda vou aprender,Uma pessoa branca,Mulher,SIM,SIM,Não respondeu,Não sei programar,Não
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,11/05/2025 22:46:00,MEIA - ÚLTIMO LOTE,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa branca,Homem,SIM,SIM,Não respondeu,Há mais de cinco anos,Sim
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,15/06/2025 15:34:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,sim,21/06/2025,10:48,sim,sim,SIM,Parte da comunidade LGBTQIA+,Intermediário,Uma pessoa parda,Mulher,SIM,SIM,Não respondeu,Comecei no último ano,"Não, mas pretendo"
PI,Parnaíba,Brasil,IFPI - Campus Parnaíba,Não respondeu,Não respondeu,Não respondeu,30/04/2025 15:53:00,MEIA - 2° LOTE,Aprovado,sim,21/06/2025,09:51,não,sim,SIM,Prefiro não responder,Intermediário,Uma pessoa negra,Homem,SIM,SIM,Não respondeu,Comecei no último ano,"Não, mas pretendo"
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2025 14:19:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,sim,21/06/2025,09:21,não,sim,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa branca,Homem,SIM,SIM,Não respondeu,Há mais de um ano,"Não, mas pretendo"
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/02/2025 15:47:00,PROMOCIONAL,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Iniciante,Outro,Mulher,SIM,SIM,Não respondeu,Comecei no último ano,Não
CE,Fortaleza,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,28/05/2025 18:14:00,EXCLUSIVO PATROCINADORES,Aprovado,sim,21/06/2025,09:32,sim,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa branca,Homem,SIM,SIM,Não respondeu,Há mais de três anos,Sim
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,25/02/2025 13:48:00,MEIA - 1° LOTE,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa branca,Homem,SIM,SIM,Não,Comecei no último ano,"Não, mas pretendo"
PI,Teresina,Brasil,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",Graduação,Ciências Exatas e da Terra,Ciência da Computação,23/02/2025 20:29:00,MEIA - 1° LOTE,Aprovado,sim,21/06/2025,09:15,não,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa branca,Mulher,SIM,SIM,"Sim, deficiência física (nanismo)",Há mais de três anos,Não
PI,Parnaíba,Brasil,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",Não respondeu,Não respondeu,Não respondeu,30/04/2025 20:13:00,MEIA - 2° LOTE,Aprovado,sim,21/06/2025,09:55,sim,sim,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa branca,Mulher,SIM,SIM,Não respondeu,Comecei no último ano,Não
PI,São Raimundo Nonato,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,30/05/2025 16:05:00,INTEIRA - ÚLTIMO LOTE,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,Comecei no último ano,"Não, mas pretendo"
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,20/05/2025 15:48:00,MEIA - ÚLTIMO LOTE,Aprovado,sim,21/06/2025,08:48,não,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa parda,Homem,SIM,SIM,"Autismo, TDAH III, Dislexia",Há mais de três anos,Sim
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,10/06/2025 18:46:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,sim,21/06/2025,15:33,sim,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa parda,Homem,SIM,SIM,Não,Há mais de cinco anos,Sim
