Produto,Preço,País,Estado,Cupom,Tamanho de camisa,Ano de nascimento,Como você se define?,"Você possui alguma deficiência? Se sim, qual?",Você programa em Python?,Como você classificaria seu nível de conhecimento em Python?,Você trabalha com Python?,Termo de consentimento para tratamento de dados pessoais,Direitos de conteúdo e imagem,Você concorda em compartilhar seus dados com os patrocinadores?,Provedores de pagamento
Ingresso (2º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,3G - 64cm tórax - 78cm comprimento,1992,Uma pessoa indígena,Múltipla,Há mais de dez anos,Avançado,Sim,Sim,Sim,Sim,Não respondeu
Ingresso (2º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,G - 56cm tórax - 73cm comprimento,1998,Uma pessoa parda,Não respondeu,Há mais de cinco anos,Avançado,Não,Sim,Sim,Sim,Não respondeu
Ingresso (2º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,P - 49cm tórax - 66cm comprimento,1988,Uma pessoa parda,Não respondeu,Há mais de três anos,Intermediário,Sim,Sim,Sim,Sim,Não respondeu
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2006,Uma pessoa parda,Não respondeu,Há mais de um ano,Intermediário,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2005,Uma pessoa branca,Não respondeu,Há mais de um ano,Intermediário,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,GG - 60cm tórax - 76cm comprimento,2006,Uma pessoa branca,Não respondeu,Há mais de três anos,Intermediário,"Não, mas pretendo",Sim,Sim,Sim,Não respondeu
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,PP - 46cm tórax - 63cm comprimento,2006,Uma pessoa parda,Não,Há mais de três anos,Intermediário,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,GG - 60cm tórax - 76cm comprimento,2001,Prefiro não responder,Não,Não sei programar,Ainda vou aprender,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (2º lote),260,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,1987,Uma pessoa parda,Não respondeu,Há mais de dez anos,Avançado,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1987,Uma pessoa negra,Não respondeu,Há mais de três anos,Iniciante,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2007,Uma pessoa parda,TEA,Há mais de três anos,Ainda vou aprender,"Não, mas pretendo",Sim,Sim,Não,Cartão de Crédito via Stripe
